¼ø¼­,Precursor,Co-reactant,Precursor_Pulse Time (s),Co-reactant_Pulse Time (s),Cycles (n),Temperature (c),Pressure (torr),Purge Gas,Purge Time (s),Purge Gas Flow Rate (cm3/min),Precursor Flow Rate (cm3/min),Co-reactant Flow Rate (cm3/min),Thickness (nm),"Surface Roughness (RMS, nm)",Uniformity (%),"Step Coverage (sc, %)",Density (g/cm3),GPC (A/cycle),Aspect Ratio (AR),Leakage Current Density (A/cm2),Dielectric Constant (¥å),Breakdown Field (MV/cm)
1,TMA,O3,0.03,0.03,50,300,-,N2,0.5,-,-,-,5,-,-,-,-,0.8,-,0.000001,7.5,10
2,TMA,O2,-,-,-,70,-,Ar,-,-,-,-,50,-,-,-,-,-,-,-,-,-
3,TMA,H2O,0.1,0.1,100,300,0.15,N2,5,200,-,-,10,-,3.2,99.5,-,1,10,-,9,8.5
4,Al/Hf Precursors,H2O,-,-,-,300,-,-,-,-,-,-,8,-,-,-,-,-,-,6.00E-08,12.5,7.9
5,TDMAH,H2O,0.5,0.5,150,225,0.2,N2,5,50,-,-,15,0.25,1.8,-,-,1,-,0.0000002,20,6
6,Al(CH3?)3?,H2O,0.015,0.015,220,250,0.05,Ar,0.5,-,-,-,25,-,-,95,-,1.1,-,0.0000001,8.5,6
7,HfCl4,H2O,0.5,0.5,50,300,0.5,N2,5,-,-,-,5,-,-,-,-,0.9,-,3.00E-08,18,-
8,TEMAHf,O3,0.2,0.5,300,150,0.05,Ar,0.5,100,-,100,30,0.3,1.2,-,9.5,1,-,1.00E-08,18,7.5
9,Hf Precursor,O3,-,-,-,80,-,-,-,-,-,-,-,0.2,-,-,8,-,-,0.000025,16,4
10,TEMAHf,O3,0.5,0.5,100,250,0.1,N2,1.5,500,-,200,15,0.3,-,-,9.8,1.5,-,0.000001,20,-
11,Zr(NEt2?)4?,H2O,1,1,1000,200,0.1,N2,1,-,-,-,100,0.18,3,100,5.6,1,50,-,20,-
12,HfCl4?,H2O,0.3,0.3,100,400,0.001,N2,5,-,-,-,10,0.3,-,-,9.5,1,-,0.0000005,17,4
13,TMA/TDMAH,O2,0.05,5,100,150,0.15,Ar,5,-,-,-,10,0.15,-,-,-,1.3,10,2.00E-08,21,-
14,TMA,H2O,0.05,0.015,100,200,0.3,N2,5,-,-,-,11.8,-,-,-,-,-,-,-,-,-
15,TEMAZ,O2,0.05,1,50,150,0.005,Ar,1,-,50,200,3.5,0.2,-,100,5.8,0.7,10,1.00E-08,23,-
16,TDMAH,H2O,0.15,0.03,100,225,-,N2,6,-,-,-,-,-,-,-,-,-,-,-,-,-
17,ZrCl4?,H2O,0.5,0.5,200,350,0.5,N2,10,200,-,-,20,-,2.5,98,5.6,1,-,0.000001,24,5
18,TDMAH,H2O,0.05,0.01,100,250,0.3,N2,3,100,-,-,10,-,-,-,-,1,-,0.0000001,15,8
19,Hf/Al Precursor,O2,-,-,120,150,-,-,-,-,-,-,-,-,-,-,-,1.8,-,2.30E-08,20.7,7.4
20,TDMAH,H2O,0.3,0.3,100,250,0.15,N2,10,100,-,-,10,0.2,1.5,-,9.4,1,-,0.0000005,19,5
21,TDMAH/TMA,O3,0.1,0.1,100,320,0.2,N2,2,-,-,-,20,-,1.5,-,-,1.1,-,0.0000001,22,-
22,TMA,O3,0.01,0.02,500,300,1,N2,0.5,-,-,-,50,-,0.9,-,-,1,-,0.0000001,8.8,12
23,TMA,H2O,0.05,0.015,100,225,-,N2,5,-,-,-,-,-,-,-,-,-,10,-,-,-
24,TDMAH,H2O,0.05,0.01,100,243,0.3,N2,3,100,-,-,10,-,-,-,-,1,-,0.0000001,15,8
25,Al(CH3?)3?,H2O,0.015,0.015,220,252,0.05,Ar,0.5,-,-,-,25,-,-,95,-,1.1,-,0.0000001,8.5,6
26,TMA,H2O,0.1,0.1,100,293,0.15,N2,5,200,-,-,10,-,3.2,99.5,-,1,10,-,9,8.5
27,TDMAH,H2O,0.15,0.03,100,230,-,N2,6,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Hf/Al Precursor,Plasma,-,-,120,153,-,-,-,-,-,-,-,-,-,-,-,1.8,-,2.30E-08,20.7,7.4
29,ZrCl4?,H2O,0.5,0.5,200,356,0.5,N2,10,200,-,-,20,-,2.5,98,5.6,1,-,0.000001,24,5
30,Al(CH3?)3?,H2O,0.015,0.015,220,254,0.05,Ar,0.5,-,-,-,25,-,-,95,-,1.1,-,0.0000001,8.5,6
31,TDMAH,H2O,0.15,0.03,100,223,-,N2,6,-,-,-,-,-,-,-,-,-,-,-,-,-
32,TEMAHf,O3,0.5,0.5,100,258,0.1,N2,1.5,500,-,200,15,0.3,-,-,9.8,1.5,-,0.000001,20,-
33,TDMAH,H2O,0.5,0.5,150,225,0.2,N2,5,50,-,-,15,0.25,1.8,-,-,1,-,0.0000002,20,6
34,Hf/Al Precursor,Plasma,-,-,120,144,-,-,-,-,-,-,-,-,-,-,-,1.8,-,2.30E-08,20.7,7.4
35,TDMAH,H2O,0.15,0.03,100,230,-,N2,6,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Zr(NEt2?)4?,H2O,1,1,1000,198,0.1,N2,1,-,-,-,100,0.18,3,100,5.6,1,50,-,20,-
37,Al/Hf Precursors,H2O (Implied),-,-,-,298,-,-,-,-,-,-,8,-,-,-,-,-,-,6.00E-08,12.5,7.9
38,TMA,H2O,0.05,0.015,100,220,-,N2,5,-,-,-,-,-,-,-,-,-,10,-,-,-
39,Al/Hf Precursors,H2O (Implied),-,-,-,298,-,-,-,-,-,-,8,-,-,-,-,-,-,6.00E-08,12.5,7.9
40,TEMAHf,O3,0.5,0.5,100,249,0.1,N2,1.5,500,-,200,15,0.3,-,-,9.8,1.5,-,0.000001,20,-
41,Al/Hf Precursors,H2O (Implied),-,-,-,303,-,-,-,-,-,-,8,-,-,-,-,-,-,6.00E-08,12.5,7.9
42,Al/Hf Precursors,H2O (Implied),-,-,-,297,-,-,-,-,-,-,8,-,-,-,-,-,-,6.00E-08,12.5,7.9
43,TMA,H2O,0.1,0.1,100,300,0.15,N2,5,200,-,-,10,-,3.2,99.5,-,1,10,-,9,8.5
44,TMA,O3?,0.01,0.02,500,306,1,N2,0.5,-,-,-,50,-,0.9,-,-,1,-,0.0000001,8.8,12
45,Al(CH3?)3?,H2O,0.015,0.015,220,259,0.05,Ar,0.5,-,-,-,25,-,-,95,-,1.1,-,0.0000001,8.5,6
46,Al/Hf Precursors,H2O (Implied),-,-,-,301,-,-,-,-,-,-,8,-,-,-,-,-,-,6.00E-08,12.5,7.9
47,Zr(NEt2?)4?,H2O,1,1,1000,204,0.1,N2,1,-,-,-,100,0.18,3,100,5.6,1,50,-,20,-
48,Hf Precursor,O3,-,-,-,78,-,-,-,-,-,-,-,0.2,-,-,8,-,-,0.000025,16,4
49,TEMAHf,O3??plasma,0.2,0.5,300,150,0.05,Ar,0.5,100,-,100,30,0.3,1.2,-,9.5,1,-,1.00E-08,18,7.5
50,TMA,O3?,0.03,0.03,50,309,-,N2,0.5,-,-,-,5,-,-,-,-,0.8,-,0.000001,7.5,10
51,TDMAH,H2O,0.05,0.01,100,248,0.3,N2,3,100,-,-,10,-,-,-,-,1,-,0.0000001,15,8
52,TEMAHf,O3,0.5,0.5,100,253,0.1,N2,1.5,500,-,200,15,0.3,-,-,9.8,1.5,-,0.000001,20,-
53,Zr(NEt2?)4?,H2O,1,1,1000,199,0.1,N2,1,-,-,-,100,0.18,3,100,5.6,1,50,-,20,-
54,ZrCl4?,H2O,0.5,0.5,200,349,0.5,N2,10,200,-,-,20,-,2.5,98,5.6,1,-,0.000001,24,5
